abbrev,Bezirk,Mitt,FrKr,Pank,ChWi,Span,StZe,TSch,Neuk,TrKo,MaHe,Lich,Rein
Mitt,Mitte,0,9997,11684,9334,3628,3968,6802,6231,1875,1898,3680,8040
FrKr,Friedrichshain-Kreuzberg,10338,0,10609,4126,1375,2541,5666,9678,3022,2248,5022,1435
Pank,Pankow,13797,10518,0,3334,1408,1890,2821,2928,2925,3877,7978,4140
ChWi,Charlottenburg-Wilmersdorf,10180,4414,2901,0,6007,8151,9891,3925,1098,932,1576,3227
Span,Spanda,4456,1385,1395,7179,0,1932,2709,2487,793,832,1031,3454
StZe,Steglitz-Zehlendorf,5009,3034,2141,10456,1857,0,12852,4149,1149,703,1096,2071
TSch,Tempelhof-Schönefeld,7479,8204,2786,9312,2982,11129,0,11491,1822,941,1605,2282
Neuk,Neukölln,6867,16220,4010,3696,1606,3453,10590,0,4129,1139,2051,2044
TrKo,Treptow-Köpenick,2339,4866,3658,1241,1256,1082,2010,5561,0,5139,5326,894
MaHe,Mazahn-Hellersdorf,2455,2675,4219,789,1280,723,1412,1716,4443,0,10337,985
Lich,Lichtenberg,4389,8593,9500,1339,1910,1010,1685,2198,4452,8636,0,1252
Rein,Reinickendorf,13774,2018,3795,3656,2849,1719,2580,2677,756,865,1253,0
