abbrev,Bezirk,Mitt,FrKr,Pank,ChWi,Span,StZe,TSch,Neuk,TrKo,MaHe,Lich,Rein,sum_imm,sum_emm,saldo,saldo_norm,max_emm,sum_int
Mitt,Mitte,0,5214,7052,5080,2285,2571,3701,3405,1141,1166,2196,6729,33650,40540,-6890,-0.814324547925777,7052,0
FrKr,Friedrichshain-Kreuzberg,4879,0,5413,2227,661,1566,4073,8308,2481,1409,4337,989,27882,36343,-8461,-1,8308,0
Pank,Pankow,5950,5325,0,1458,684,1086,1344,2058,1792,2038,4842,1861,28248,28438,-190,-0.0224559744711027,5950,0
ChWi,Charlottenburg-Wilmersdorf,4701,2037,1691,0,3719,5286,4654,1894,619,397,680,1796,26019,27474,-1455,-0.171965488712918,5286,0
Span,Spanda,1859,702,725,2914,0,984,1334,776,666,674,806,1356,14021,12796,1225,0.144781940668952,2914,0
StZe,Steglitz-Zehlendorf,1963,1224,975,4039,973,0,5674,1679,538,344,496,807,22612,18712,3900,0.460938423354213,5674,0
TSch,Tempelhof-Schönefeld,3409,2842,1464,4916,1434,6527,0,5219,1020,637,837,1292,29964,29597,367,0.0433754875310247,6527,0
Neuk,Neukölln,3145,4782,1440,1946,1177,2051,5769,0,2692,843,1078,1284,28039,26207,1832,0.216522869637159,5769,0
TrKo,Treptow-Köpenick,940,1507,1498,585,410,601,924,2059,0,2261,2245,390,16660,13420,3240,0.382933459401962,2261,0
MaHe,Mazahn-Hellersdorf,923,1087,1939,456,435,365,490,530,2643,0,4255,392,15467,13515,1952,0.23070559035575,4255,0
Lich,Lichtenberg,1849,2463,4018,795,505,555,809,1111,2643,5229,0,624,22404,20601,1803,0.213095378796833,5229,0
Rein,Reinickendorf,4032,699,2033,1603,1738,1020,1192,1000,425,469,632,0,17520,14843,2677,0.316392861363905,4032,0
